idx,speech_id,old_category,new_category,action
34,8408714a-8144-f111-bf21-6805cafeabf9,,left,inserted
33,05850aa3-5d19-f111-880e-6805cad9744d,,left,inserted
28,277ee5c2-d93f-f111-bf21-6805cafeabf9,,right,inserted
18,d44df131-db3f-f111-bf21-6805cafeabf9,,left,inserted
2,bde9d6c1-b812-f111-880e-6805cad9744d,,left,inserted
21,e8223bc7-4b32-f011-87f7-6805cad9744d,,left,inserted
7,82a2f18c-2482-e511-942d-00262d0d0c40,far_left,left,updated
1,3fc2362d-eeb9-e511-9431-00262d0d0c40,,left,inserted
24,dc540a64-5fbb-e511-9431-00262d0d0c40,,right,inserted
5,68f3ab61-a516-e611-9437-00262d0d0c40,,left,inserted
27,fdee13ca-3518-e611-9437-00262d0d0c40,,right,inserted
15,0362acbf-4025-ed11-9178-901b0e9b71a8,,right,inserted
3,55edea43-7d40-ec11-9164-0090facf175a,,left,inserted
13,5284c086-cf85-ec11-9163-901b0eac4c70,,left,inserted
37,80fad202-ccc0-ec11-9167-901b0eac4c78,,left,inserted
17,1723765d-cb75-ef11-87e5-6805cad9744d,,left,inserted
40,5e0f0b93-7318-ef11-87dd-6805cad9744d,,right,inserted
29,0c58f121-bc29-ef11-b1e6-6805cad971a9,,left,inserted
36,6c4847b9-cd7f-ee11-87d0-6805cad9744d,,left,inserted
4,924ae10b-4db5-ee11-87d4-6805cad9744d,,left,inserted
16,77b3d0fb-cc3a-ef11-87e1-6805cad9744d,,right,inserted
26,0396e6d9-44ca-e911-9123-901b0eac4c78,,right,inserted
32,2b00c369-2f40-e911-9116-901b0eac4c78,,centre_left,inserted
9,e0430028-2952-e911-911c-0090facf175a,,right,inserted
30,eea61001-fb56-ee11-b1d0-6805cad971a9,,left,inserted
20,b433dd11-b995-ed11-9180-901b0e9b71a0,,far_right,inserted
23,40554483-c098-ed11-917f-901b0eac4c70,,left,inserted
31,92a9df55-250c-ee11-87c3-6805cad9744d,,centre_left,inserted
19,8ba30e9d-9986-e411-9414-00262d0d0c40,,right,inserted
11,6b372781-619a-e411-9412-00262d0d7125,,right,inserted
8,d9988cf5-b6c1-e411-941e-00262d0d0c40,,left,inserted
39,2b937693-7606-ec11-9160-901b0e9b71a0,,right,inserted
10,a868e860-3b0b-ec11-9160-901b0e9b71a0,,left,inserted
25,7c51d933-3416-ec11-9160-901b0e9b71a0,,left,inserted
35,122d7b52-b922-ec11-915b-901b0eac4c78,,left,inserted
38,86449a9d-ad34-eb11-914a-901b0e9b71a8,,far_right,inserted
12,b83ef66e-b2c3-eb11-9156-901b0e9b71a8,,right,inserted
22,8e9ce166-37d4-e711-90fb-901b0eac4c70,,left,inserted
6,f0bd050d-4adb-e711-90fb-901b0eac4c70,,left,inserted
14,1ac76f6b-d43c-e811-9106-901b0e9b71a0,,centre,inserted
